MonitoringStation,EventId,SampleDate,Layer,Parameter,MeasureValue,Unit
CB5.1,42179,11/6/91,M ,DO,8.2,MG/L
CB5.1,42179,11/6/91,M ,DO,8.0,MG/L
CB5.1,42179,11/6/91,M ,DO,7.8,MG/L
CB5.1,42179,11/6/91,M ,DO,7.7,MG/L
CB5.1,42179,11/6/91,M ,DO,7.5,MG/L
CB5.1,42179,11/6/91,M ,DO,7.4,MG/L
CB5.1,42179,11/6/91,M ,DO,7.1,MG/L
CB5.1,42179,11/6/91,M ,DO,6.6,MG/L
CB5.1,42179,11/6/91,BP,DO,6.2,MG/L
CB5.1,42179,11/6/91,M ,DO,6.3,MG/L
CB5.1,42179,11/6/91,M ,DO,6.1,MG/L
CB5.1,41994,10/23/91,B ,DO,6.5,MG/L
CB5.1,41994,10/23/91,BP,DO,7.4,MG/L
CB5.1,42179,11/6/91,S ,DO,8.5,MG/L
CB5.1,42179,11/6/91,M ,DO,8.5,MG/L
CB5.1,42179,11/6/91,M ,DO,8.5,MG/L
CB5.1,41994,10/23/91,M ,DO,7.9,MG/L
CB5.1,41994,10/23/91,M ,DO,8.6,MG/L
CB5.1,41994,10/23/91,AP,DO,8.6,MG/L
CB5.1,41994,10/23/91,S ,DO,8.7,MG/L
CB5.1,41907,10/15/91,AP,DO,8.1,MG/L
CB5.1,41907,10/15/91,M ,DO,8.2,MG/L
CB5.1,41907,10/15/91,M ,DO,7.8,MG/L
CB5.1,41907,10/15/91,M ,DO,7.0,MG/L
CB5.1,41907,10/15/91,M ,DO,5.8,MG/L
CB5.1,41907,10/15/91,M ,DO,5.2,MG/L
CB5.1,41907,10/15/91,M ,DO,5.3,MG/L
CB5.1,41907,10/15/91,BP,DO,5.2,MG/L
CB5.1,41907,10/15/91,M ,DO,5.3,MG/L
CB5.1,41907,10/15/91,M ,DO,5.2,MG/L
CB5.1,41907,10/15/91,M ,DO,5.2,MG/L
CB5.1,41907,10/15/91,M ,DO,5.2,MG/L
CB5.1,41907,10/15/91,B ,DO,5.2,MG/L
CB5.1,41907,10/15/91,S ,DO,8.2,MG/L
CB5.1,41706,10/1/91,M ,DO,4.4,MG/L
CB5.1,41907,10/15/91,M ,DO,8.1,MG/L
CB5.1,41907,10/15/91,M ,DO,8.0,MG/L
CB5.1,41907,10/15/91,M ,DO,8.0,MG/L
CB5.1,41907,10/15/91,M ,DO,8.0,MG/L
CB5.1,41907,10/15/91,M ,DO,8.1,MG/L
CB5.1,41832,10/9/91,B ,DO,6.5,MG/L
CB5.1,41832,10/9/91,BP,DO,7.4,MG/L
CB5.1,41832,10/9/91,M ,DO,7.4,MG/L
CB5.1,41832,10/9/91,M ,DO,7.4,MG/L
CB5.1,41832,10/9/91,AP,DO,7.3,MG/L
CB5.1,41832,10/9/91,S ,DO,7.4,MG/L
CB5.1,41706,10/1/91,B ,DO,4.4,MG/L
CB5.1,41706,10/1/91,M ,DO,4.3,MG/L
CB5.1,41706,10/1/91,M ,DO,4.3,MG/L
CB5.1,41706,10/1/91,BP,DO,4.5,MG/L
CB5.1,41706,10/1/91,M ,DO,4.4,MG/L
CB5.1,41706,10/1/91,M ,DO,4.4,MG/L
CB5.1,41706,10/1/91,M ,DO,7.5,MG/L
CB5.1,41706,10/1/91,M ,DO,7.3,MG/L
CB5.1,41706,10/1/91,M ,DO,6.4,MG/L
CB5.1,41706,10/1/91,M ,DO,4.6,MG/L
CB5.1,41597,9/23/91,M ,DO,7.4,MG/L
CB5.1,41706,10/1/91,M ,DO,8.2,MG/L
CB5.1,41706,10/1/91,M ,DO,8.0,MG/L
CB5.1,41706,10/1/91,M ,DO,7.8,MG/L
CB5.1,41706,10/1/91,M ,DO,7.5,MG/L
CB5.1,41706,10/1/91,M ,DO,7.5,MG/L
CB5.1,41706,10/1/91,AP,DO,7.6,MG/L
CB5.1,41706,10/1/91,S ,DO,8.2,MG/L
CB5.1,41597,9/23/91,M ,DO,7.1,MG/L
CB5.1,41597,9/23/91,AP,DO,7.0,MG/L
CB5.1,41597,9/23/91,S ,DO,7.0,MG/L
CB5.1,41597,9/23/91,B ,DO,6.0,MG/L
CB5.1,41597,9/23/91,BP,DO,7.3,MG/L
CB5.1,41514,9/16/91,B ,DO,1.8,MG/L
CB5.1,41514,9/16/91,M ,DO,1.8,MG/L
CB5.1,41514,9/16/91,M ,DO,1.6,MG/L
CB5.1,41514,9/16/91,M ,DO,1.7,MG/L
CB5.1,41514,9/16/91,BP,DO,1.7,MG/L
CB5.1,41514,9/16/91,M ,DO,1.7,MG/L
CB5.1,41514,9/16/91,M ,DO,1.8,MG/L
CB5.1,41514,9/16/91,M ,DO,1.8,MG/L
CB5.1,41514,9/16/91,M ,DO,1.8,MG/L
CB5.1,123941,7/20/98,B ,DO,0.1,MG/L
CB5.1,123941,7/20/98,M ,DO,0.1,MG/L
CB5.1,123941,7/20/98,M ,DO,0.1,MG/L
CB5.1,123941,7/20/98,M ,DO,0.1,MG/L
CB5.1,123941,7/20/98,M ,DO,0.1,MG/L
CB5.1,123941,7/20/98,BP,DO,0.1,MG/L
CB5.1,123941,7/20/98,M ,DO,0.1,MG/L
CB5.1,123941,7/20/98,M ,DO,0.1,MG/L
CB5.1,123941,7/20/98,M ,DO,0.1,MG/L
CB5.1,123941,7/20/98,M ,DO,0.1,MG/L
CB5.1,123941,7/20/98,M ,DO,0.1,MG/L
CB5.1,123941,7/20/98,M ,DO,0.1,MG/L
CB5.1,123941,7/20/98,AP,DO,7.6,MG/L
CB5.1,123941,7/20/98,M ,DO,9.4,MG/L
CB5.1,123941,7/20/98,M ,DO,8.4,MG/L
CB5.1,123941,7/20/98,S ,DO,9.2,MG/L
CB5.1,123755,7/6/98,B ,DO,0.1,MG/L
CB5.1,123941,7/20/98,M ,DO,7.7,MG/L
CB5.1,123941,7/20/98,M ,DO,7.3,MG/L
CB5.1,123941,7/20/98,M ,DO,2.9,MG/L
CB5.1,123941,7/20/98,M ,DO,2.2,MG/L
CB5.1,123941,7/20/98,M ,DO,0.1,MG/L
CB5.1,123941,7/20/98,M ,DO,0.1,MG/L
CB5.1,123941,7/20/98,M ,DO,0.1,MG/L
CB5.1,123941,7/20/98,M ,DO,0.1,MG/L
CB5.1,123755,7/6/98,BP,DO,0.1,MG/L
CB5.1,123755,7/6/98,M ,DO,0.1,MG/L
CB5.1,123755,7/6/98,M ,DO,0.1,MG/L
CB5.1,123755,7/6/98,M ,DO,0.1,MG/L
CB5.1,123755,7/6/98,M ,DO,0.1,MG/L
CB5.1,123755,7/6/98,M ,DO,0.1,MG/L
CB5.1,123755,7/6/98,M ,DO,0.1,MG/L
CB5.1,123755,7/6/98,M ,DO,0.1,MG/L
CB5.1,123755,7/6/98,M ,DO,0.1,MG/L
CB5.1,123755,7/6/98,M ,DO,0.1,MG/L
CB5.1,123755,7/6/98,M ,DO,0.1,MG/L
CB5.1,123755,7/6/98,M ,DO,0.1,MG/L
CB5.1,123755,7/6/98,M ,DO,0.1,MG/L
CB5.1,123755,7/6/98,M ,DO,0.1,MG/L
CB5.1,123755,7/6/98,M ,DO,0.1,MG/L
CB5.1,123755,7/6/98,AP,DO,7.4,MG/L
CB5.1,123755,7/6/98,M ,DO,7.8,MG/L
CB5.1,123755,7/6/98,M ,DO,6.7,MG/L
CB5.1,123755,7/6/98,M ,DO,4.1,MG/L
CB5.1,123755,7/6/98,M ,DO,3.5,MG/L
CB5.1,123755,7/6/98,M ,DO,1.6,MG/L
CB5.1,123755,7/6/98,M ,DO,1.2,MG/L
CB5.1,123755,7/6/98,S ,DO,8.0,MG/L
CB5.1,123455,6/1/98,B ,DO,1.7,MG/L
CB5.1,123455,6/1/98,M ,DO,1.8,MG/L
CB5.1,123455,6/1/98,M ,DO,1.8,MG/L
CB5.1,123455,6/1/98,M ,DO,1.8,MG/L
CB5.1,123455,6/1/98,M ,DO,1.8,MG/L
CB5.1,123455,6/1/98,BP,DO,0.4,MG/L
CB5.1,123455,6/1/98,M ,DO,0.6,MG/L
CB5.1,123455,6/1/98,M ,DO,0.8,MG/L
CB5.1,123455,6/1/98,AP,DO,7.1,MG/L
CB5.1,123455,6/1/98,M ,DO,7.1,MG/L
CB5.1,123455,6/1/98,M ,DO,0.5,MG/L
CB5.1,123455,6/1/98,M ,DO,1.0,MG/L
CB5.1,123455,6/1/98,M ,DO,1.3,MG/L
CB5.1,123455,6/1/98,M ,DO,1.6,MG/L
CB5.1,123455,6/1/98,M ,DO,1.8,MG/L
CB5.1,123455,6/1/98,M ,DO,1.8,MG/L
CB5.1,123455,6/1/98,M ,DO,1.8,MG/L
CB5.1,123455,6/1/98,M ,DO,1.8,MG/L
CB5.1,123455,6/1/98,M ,DO,1.8,MG/L
CB5.1,123455,6/1/98,S ,DO,9.4,MG/L
CB5.1,123339,5/18/98,B ,DO,0.1,MG/L
CB5.1,123455,6/1/98,M ,DO,9.4,MG/L
CB5.1,123455,6/1/98,M ,DO,9.3,MG/L
CB5.1,123455,6/1/98,M ,DO,8.9,MG/L
CB5.1,123455,6/1/98,M ,DO,8.2,MG/L
CB5.1,123339,5/18/98,M ,DO,2.7,MG/L
CB5.1,123339,5/18/98,M ,DO,2.3,MG/L
CB5.1,123339,5/18/98,M ,DO,0.9,MG/L
CB5.1,123339,5/18/98,M ,DO,0.8,MG/L
CB5.1,123339,5/18/98,M ,DO,0.4,MG/L
CB5.1,123339,5/18/98,M ,DO,0.2,MG/L
CB5.1,123339,5/18/98,M ,DO,0.2,MG/L
CB5.1,123339,5/18/98,M ,DO,0.2,MG/L
CB5.1,123339,5/18/98,BP,DO,2.9,MG/L
CB5.1,123339,5/18/98,M ,DO,3.6,MG/L
CB5.1,123339,5/18/98,M ,DO,3.0,MG/L
CB5.1,123339,5/18/98,M ,DO,5.6,MG/L
CB5.1,123339,5/18/98,M ,DO,4.7,MG/L
CB5.1,123339,5/18/98,M ,DO,3.8,MG/L
CB5.1,123339,5/18/98,M ,DO,3.7,MG/L
CB5.1,123339,5/18/98,M ,DO,11.7,MG/L
CB5.1,123339,5/18/98,M ,DO,9.0,MG/L
CB5.1,123339,5/18/98,M ,DO,8.1,MG/L
CB5.1,123339,5/18/98,M ,DO,7.6,MG/L
CB5.1,123339,5/18/98,M ,DO,7.1,MG/L
CB5.1,123339,5/18/98,M ,DO,6.6,MG/L
CB5.1,123339,5/18/98,M ,DO,5.8,MG/L
CB5.1,123339,5/18/98,M ,DO,5.7,MG/L
CB5.1,123339,5/18/98,AP,DO,12.6,MG/L
CB5.1,123142,5/4/98,M ,DO,0.5,MG/L
CB5.1,123339,5/18/98,M ,DO,12.3,MG/L
CB5.1,123339,5/18/98,S ,DO,12.4,MG/L
CB5.1,123142,5/4/98,B ,DO,0.7,MG/L
